! 1H range in H2O
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
47.000000	19954.7   	47.000000	19873.2   	47.000000	19868.2   	47.000000	19873.2   	47.000000	19868.5   	47.000000	399.523   	47.000000	204.459   	47.000000	520.624   	47.000000	470.173   	47.000000	505.204   	
50.000000	22306.7   	50.000000	22224.3   	50.000000	22221.8   	50.000000	22227.9   	50.000000	22222.2   	50.000000	447.188   	50.000000	227.352   	50.000000	582.149   	50.000000	523.372   	50.000000	565.428   	
55.000000	26478.9   	55.000000	26397.9   	55.000000	26399.4   	55.000000	26407.2   	55.000000	26399.7   	55.000000	531.723   	55.000000	267.697   	55.000000	691.278   	55.000000	617.279   	55.000000	672.428   	
60.000000	30959.2   	60.000000	30883.5   	60.000000	30888.6   	60.000000	30898.2   	60.000000	30888.6   	60.000000	622.439   	60.000000	310.706   	60.000000	808.436   	60.000000	717.559   	60.000000	787.537   	
65.000000	35740     	65.000000	35673.4   	65.000000	35681.3   	65.000000	35693.2   	65.000000	35681.4   	65.000000	719.132   	65.000000	356.255   	65.000000	933.4     	65.000000	824.024   	65.000000	910.567   	
70.000000	40814     	70.000000	40760.3   	70.000000	40770.6   	70.000000	40785.3   	70.000000	40770.9   	70.000000	821.608   	70.000000	404.29    	70.000000	1065.96   	70.000000	936.498   	70.000000	1041.34   	
75.000000	46174.5   	75.000000	46137.2   	75.000000	46150.1   	75.000000	46167.5   	75.000000	46150.4   	75.000000	929.681   	75.000000	454.695   	75.000000	1205.9    	75.000000	1054.82   	75.000000	1179.69   	
80.000000	51815.1   	80.000000	51797.7   	80.000000	51813.2   	80.000000	51833.6   	80.000000	51813.4   	80.000000	1043.17   	80.000000	507.433   	80.000000	1353.05   	80.000000	1178.83   	80.000000	1325.45   	
85.000000	57730     	85.000000	57735.3   	85.000000	57753.8   	85.000000	57777.3   	85.000000	57753.9   	85.000000	1161.92   	85.000000	562.444   	85.000000	1507.21   	85.000000	1308.38   	85.000000	1478.47   	
90.000000	63913.5   	90.000000	63944.2   	90.000000	63966.2   	90.000000	63992.9   	90.000000	63966     	90.000000	1285.74   	90.000000	619.636   	90.000000	1668.2    	90.000000	1443.35   	90.000000	1638.61   	
95.000000	70360.4   	95.000000	70418.6   	95.000000	70444.3   	95.000000	70474.7   	95.000000	70444.1   	95.000000	1414.49   	95.000000	678.914   	95.000000	1835.86   	95.000000	1583.58   	95.000000	1805.7    	
100.000000	77065.6   	100.000000	77153.1   	100.000000	77182.7   	100.000000	77217.3   	100.000000	77182.9   	100.000000	1548.02   	100.000000	740.23    	100.000000	2010.01   	100.000000	1728.97   	100.000000	1979.63   	
105.000000	84024.3   	105.000000	84142.2   	105.000000	84176.6   	105.000000	84215.7   	105.000000	84177     	105.000000	1686.18   	105.000000	803.571   	105.000000	2190.51   	105.000000	1879.39   	105.000000	2160.26   	
110.000000	91231.9   	110.000000	91380.9   	110.000000	91421.1   	110.000000	91464.7   	110.000000	91421.7   	110.000000	1828.82   	110.000000	868.883   	110.000000	2377.19   	110.000000	2034.72   	110.000000	2347.45   	
115.000000	98684     	115.000000	98864.3   	115.000000	98911.4   	115.000000	98959.6   	115.000000	98911.9   	115.000000	1975.81   	115.000000	936.104   	115.000000	2569.9    	115.000000	2194.85   	115.000000	2541.09   	
120.000000	106377    	120.000000	106588    	120.000000	106643    	120.000000	106696    	120.000000	106643    	120.000000	2127.02   	120.000000	1005.14   	120.000000	2768.5    	120.000000	2359.68   	120.000000	2741.05   	
125.000000	114305    	125.000000	114546    	125.000000	114611    	125.000000	114668    	125.000000	114611    	125.000000	2282.32   	125.000000	1075.94   	125.000000	2972.86   	125.000000	2529.11   	125.000000	2947.21   	
130.000000	122467    	130.000000	122736    	130.000000	122811    	130.000000	122874    	130.000000	122811    	130.000000	2441.58   	130.000000	1148.53   	130.000000	3182.82   	130.000000	2703.03   	130.000000	3159.46   	
135.000000	130857    	135.000000	131152    	135.000000	131239    	135.000000	131307    	135.000000	131238    	135.000000	2604.69   	135.000000	1222.85   	135.000000	3398.27   	135.000000	2881.35   	135.000000	3377.69   	
140.000000	139473    	140.000000	139791    	140.000000	139890    	140.000000	139964    	140.000000	139890    	140.000000	2771.52   	140.000000	1298.81   	140.000000	3619.07   	140.000000	3063.97   	140.000000	3601.78   	
